BBLCOUNT        1.0         0
0xb779f96f 0 11 41
0xb77a015e 0 2 9
0xb77a0167 0 4 21
0xb77a05c7 1 2 12
0xb779fb4d 1 13 45
0xb779fb7a 1 5 27
0xb779fb95 0 3 10
0xb779fb9f 0 1 5
0xb77a0578 1 5 26
0xb77a0592 1 1 5
0xb77a0500 1 4 19
0xb77a0147 1 5 23
0xb779f91f 0 14 80
0xb779f904 1 5 27
0xb779f8f7 1 3 13
0xb77a0597 1 2 11
0xb779fb95 1 3 10
0xb779fb9f 1 1 5
0xb779fba4 1 3 11
0xb779fbaf 1 5 26
0xb779fbc9 0 2 8
0xb779fb46 0 14 52
0xb779fac1 1 5 19
0xb779fad4 1 7 25
0xb779faed 0 6 25
0xb779fadc 2 5 17
0xb779faed 1 6 25
0xb779fb06 1 3 8
0xb779fb0e 1 5 27
0xb779fb29 1 3 13
0xb779fb3f 1 3 7
0xb77a0537 1 11 65
0xb779fb36 1 2 9
0xb779fb3f 0 3 7
0xb779fb46 0 14 52
0xb77a00fd 1 6 27
0xb77a0118 1 4 9
0xb77a0121 0 6 22
0xb77a0124 1 5 19
0xb77a0137 1 2 8
0xb77a013f 1 2 8
0xb77a0074 1 9 53
0xb779ffa6 1 3 15
0xb779ffb5 0 3 14
0xb779ffc3 0 3 11
0xb779ffce 1 3 10
0xb779ffd8 1 3 18
0xb779ffea 1 2 9
0xb779fff3 0 14 62
0xb77a0053 1 3 18
0xb77a0065 1 3 6
0xb77a006b 1 2 9
0xb779ff9e 1 2 8
0xb77a00a9 1 1 5
0xb77a00ae 1 3 14
0xb77a00bc 1 3 9
0xb77a00c5 1 2 12
0xb77a00d1 1 1 5
0xb77a00d6 1 6 8
0xb779f8ec 1 2 11
0xb779f8db 1 3 17
0xb779f8cd 1 3 14
0xb779ff56 1 2 8
0xb779ff02 1 10 46
0xb779ffad 1 2 8
0xb779ffb5 0 3 14
0xb779ffc3 0 3 11
0xb779ff30 3 9 38
0xb779ff56 2 2 8
0xb779ff5e 2 11 45
0xb77a1265 1 4 18
0xb77a1277 0 1 2
0xb779f8c5 1 2 8
0xb779ff5e 0 11 45
0xb779ff8b 1 3 10
0xb779ff95 0 2 9
0xb779ff9e 0 2 8
0xb779ffa6 2 3 15
0xb779ffb5 1 3 14
0xb779ffc3 1 3 11
0xb779ff8b 2 3 10
0xb779ff95 1 2 9
0xb779f01d 5 2 9
0xb779ef50 1 4 17
0xb779ef61 1 12 52
0xb779ef95 1 2 12
0xb779efa1 1 11 68
0xb779efe5 1 11 56
0xb779f043 1 3 11
0xb779f04e 0 1 2
0xb779f050 0 2 12
0xb779f210 1 4 13
